sofifa_id,sticker_id,player_name,team,position,birth_year
189511,ESP15,Sergio Busquets i Burgos,Spain,MF,1988
211381,MAR15,Sofiane Boufal,Morocco,FW,1993
224158,MAR11,Sofyan Amrabat,Morocco,MF,1996
198176,NED7,Stefan de Vrij,Netherlands,DF,1992
200260,NED10,Steven Berghuis,Netherlands,MF,1991
254840,SRB6,Strahinja Pavlović,Serbia,DF,2001
246800,CAN11,Tajon Buchanan,Canada,MF,1999
240679,NED14,Teun Koopmeiners,Netherlands,MF,1998
192119,BEL3,Thibaut Courtois,Belgium,GK,1992
226229,DFB6,Jan Thilo Kehrer,Germany,DF,1996
202371,BEL8,Thomas Meunier,Belgium,DF,1991
189596,GER17,Thomas Müller,Germany,FW,1989
209989,GHA14,Thomas Partey,Ghana,MF,1993
203486,BEL13,Thorgan Hazard,Belgium,FW,1993
222501,BEL6,Timothy Castagne,Belgium,DF,1995
184087,BEL5,Toby Alderweireld,Belgium,DF,1989
231281,ENG5,Trent Alexander-Arnold,England,DF,1998
230869,ESP3,Unai Simón Mendibil,Spain,GK,1997
224836,SRB4,Vanja Milinković-Savić,Serbia,GK,1997
203376,NED9,Virgil van Dijk,Netherlands,DF,1991
194845,TUN13,Wahbi Khazri,Tunisia,FW,1991
193348,SUI12,Xherdan Shaqiri,Switzerland,FW,1991
177683,SUI3,Yann Sommer,Switzerland,GK,1988
209981,MAR3,Yassine Bounou,Morocco,GK,1991
241746,TUN10,Yassine Meriah,Tunisia,DF,1993
216393,BEL14,Youri Tielemans,Belgium,MF,1997
235410,MAR17,Youssef En-Nesyri,Morocco,FW,1997
186942,DFB17,İlkay Gündoğan,Germany,MF,1990
189908,POL4,Łukasz Skorupski,Poland,GK,1991
