player_name,sticker,team,code_prefix,code_number,source_line
Abdullah Madu,KSA11,Saudi Arabia,KSA,11,KSA11 KSA11 Abdullah Madu - Saudi Arabia
Salman Al-Faraj,KSA12,Saudi Arabia,KSA,12,KSA12 KSA12 Salman Al-Faraj - Saudi Arabia
Abdulelah Al-Malki,KSA13,Saudi Arabia,KSA,13,KSA13 KSA13 Abdulelah Al-Malki - Saudi Arabia
Sami Al-Najei,KSA14,Saudi Arabia,KSA,14,KSA14 KSA14 Sami Al-Najei - Saudi Arabia
Hattan Bahebri,KSA15,Saudi Arabia,KSA,15,KSA15 KSA15 Hattan Bahebri - Saudi Arabia
Mohamed Kanno,KSA16,Saudi Arabia,KSA,16,KSA16 KSA16 Mohamed Kanno - Saudi Arabia
Abdullah Otayf,KSA17,Saudi Arabia,KSA,17,KSA17 KSA17 Abdullah Otayf - Saudi Arabia
Firas Al-Buraikan,KSA18,Saudi Arabia,KSA,18,KSA18 KSA18 Firas Al-Buraikan - Saudi Arabia
Salem Al-Dawsari,KSA19,Saudi Arabia,KSA,19,KSA19 KSA19 Salem Al-Dawsari - Saudi Arabia
Khalid Al-Ghannam,KSA20,Saudi Arabia,KSA,20,KSA20 KSA20 Khalid Al-Ghannam - Saudi Arabia
Yassine Bounou,MAR3,Morocco,MAR,3,MAR3 Yassine Bounou - Morocco
Munir Mohamedi,MAR4,Morocco,MAR,4,MAR4 Munir Mohamedi - Morocco
Nayef Aguerd,MAR5,Morocco,MAR,5,MAR5 Nayef Aguerd - Morocco
Achraf Hakimi,MAR6,Morocco,MAR,6,MAR6 Achraf Hakimi - Morocco
Adam Masina,MAR7,Morocco,MAR,7,MAR7 Adam Masina - Morocco
Samy Mmaee,MAR8,Morocco,MAR,8,MAR8 Samy Mmaee - Morocco
Romain Saïss,MAR9,Morocco,MAR,9,MAR9 Romain Saïss - Morocco
Selim Amallah,MAR10,Morocco,MAR,10,MAR10 Selim Amallah - Morocco
Sofyan Amrabat,MAR11,Morocco,MAR,11,MAR11 Sofyan Amrabat - Morocco
Aymen Barkok,MAR12,Morocco,MAR,12,MAR12 Aymen Barkok - Morocco
Ilias Chair,MAR13,Morocco,MAR,13,MAR13 Ilias Chair - Morocco
Imrân Louza,MAR14,Morocco,MAR,14,MAR14 Imrân Louza - Morocco
Sofiane Boufal,MAR15,Morocco,MAR,15,MAR15 Sofiane Boufal - Morocco
Ayoub El Kaabi,MAR16,Morocco,MAR,16,MAR16 Ayoub El Kaabi - Morocco
Youssef En-Nesyri,MAR17,Morocco,MAR,17,MAR17 Youssef En-Nesyri - Morocco
Ryan Mmaee,MAR18,Morocco,MAR,18,MAR18 Ryan Mmaee - Morocco
Munir,MAR19,Morocco,MAR,19,MAR19 Munir - Morocco
Tarik Tissoudali,MAR20,Morocco,MAR,20,MAR20 Tarik Tissoudali - Morocco
Guillermo Ochoa,MEX3,Mexico,MEX,3,MEX3 Guillermo Ochoa - Mexico
Alfredo Talavera,MEX4,Mexico,MEX,4,MEX4 Alfredo Talavera - Mexico
Néstor Araújo,MEX5,Mexico,MEX,5,MEX5 Néstor Araújo - Mexico
Jesús Gallardo,MEX6,Mexico,MEX,6,MEX6 Jesús Gallardo - Mexico
César Montes,MEX7,Mexico,MEX,7,MEX7 César Montes - Mexico
Héctor Moreno,MEX8,Mexico,MEX,8,MEX8 Héctor Moreno - Mexico
Luis Romo,MEX9,Mexico,MEX,9,MEX9 Luis Romo - Mexico
Jorge Sánchez,MEX10,Mexico,MEX,10,MEX10 Jorge Sánchez - Mexico
Edson Álvarez,MEX11,Mexico,MEX,11,MEX11 Edson Álvarez - Mexico
Jesús Manuel Corona,MEX12,Mexico,MEX,12,MEX12 Jesús Manuel Corona - Mexico
Andrés Guardado,MEX13,Mexico,MEX,13,MEX13 Andrés Guardado - Mexico
Érick Gutiérrez,MEX14,Mexico,MEX,14,MEX14 Érick Gutiérrez - Mexico
Héctor Herrera,MEX15,Mexico,MEX,15,MEX15 Héctor Herrera - Mexico
Diego Lainez,MEX16,Mexico,MEX,16,MEX16 Diego Lainez - Mexico
Carlos Rodríguez,MEX17,Mexico,MEX,17,MEX17 Carlos Rodríguez - Mexico
Rogelio Funes Mori,MEX18,Mexico,MEX,18,MEX18 Rogelio Funes Mori - Mexico
Raúl Jiménez,MEX19,Mexico,MEX,19,MEX19 Raúl Jiménez - Mexico
Hirving Lozano,MEX20,Mexico,MEX,20,MEX20 Hirving Lozano - Mexico
Justin Bijlow,NED3,Netherlands,NED,3,NED3 Justin Bijlow - Netherlands
Jasper Cillessen,NED4,Netherlands,NED,4,NED4 Jasper Cillessen - Netherlands
Daley Blind,NED5,Netherlands,NED,5,NED5 Daley Blind - Netherlands
Matthijs de Ligt,NED6,Netherlands,NED,6,NED6 Matthijs de Ligt - Netherlands
Stefan de Vrij,NED7,Netherlands,NED,7,NED7 Stefan de Vrij - Netherlands
Denzel Dumfries,NED8,Netherlands,NED,8,NED8 Denzel Dumfries - Netherlands
Virgil van Dijk,NED9,Netherlands,NED,9,NED9 Virgil van Dijk - Netherlands
Steven Berghuis,NED10,Netherlands,NED,10,NED10 Steven Berghuis - Netherlands
Frenkie de Jong,NED11,Netherlands,NED,11,NED11 Frenkie de Jong - Netherlands
Ryan Gravenberch,NED12,Netherlands,NED,12,NED12 Ryan Gravenberch - Netherlands
Davy Klaassen,NED13,Netherlands,NED,13,NED13 Davy Klaassen - Netherlands
Teun Koopmeiners,NED14,Netherlands,NED,14,NED14 Teun Koopmeiners - Netherlands
Georginio Wijnaldum,NED15,Netherlands,NED,15,NED15 Georginio Wijnaldum - Netherlands
Steven Bergwijn,NED16,Netherlands,NED,16,NED16 Steven Bergwijn - Netherlands
Arnaut Danjuma,NED17,Netherlands,NED,17,NED17 Arnaut Danjuma - Netherlands
Memphis Depay,NED18,Netherlands,NED,18,NED18 Memphis Depay - Netherlands
Cody Gakpo,NED19,Netherlands,NED,19,NED19 Cody Gakpo - Netherlands
Donyell Malen,NED20,Netherlands,NED,20,NED20 Donyell Malen - Netherlands
Wojciech Szczęsny,POL3,Poland,POL,3,POL3 Wojciech Szczęsny - Poland
Łukasz Skorupski,POL4,Poland,POL,4,POL4 Łukasz Skorupski - Poland
Jan Bednarek,POL5,Poland,POL,5,POL5 Jan Bednarek - Poland
Bartosz Bereszyński,POL6,Poland,POL,6,POL6 Bartosz Bereszyński - Poland
Matty Cash,POL7,Poland,POL,7,POL7 Matty Cash - Poland
Kamil Glik,POL8,Poland,POL,8,POL8 Kamil Glik - Poland
Tymoteusz Puchacz,POL9,Poland,POL,9,POL9 Tymoteusz Puchacz - Poland
Maciej Rybus,POL10,Poland,POL,10,POL10 Maciej Rybus - Poland
Kamil Jóźwiak,POL11,Poland,POL,11,POL11 Kamil Jóźwiak - Poland
